Metric,Value
timing__setup_r2r__ws__corner:max_tt_025C_1v80,11.645908
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,218
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,4736
design__max_fanout_violation__count__corner:max_ss_100C_1v60,246
design__max_cap_violation__count__corner:max_ss_100C_1v60,29
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.46751670524876826
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.4744376137354132
timing__hold__ws__corner:max_ss_100C_1v60,0.8713292556320783
timing__setup__ws__corner:max_ss_100C_1v60,2.037397863642182
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.871329
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,2.037398
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,218
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,127
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,246
design__max_cap_violation__count__corner:max_ff_n40C_1v95,19
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3645025218161606
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.3660492845778138
timing__hold__ws__corner:max_ff_n40C_1v95,0.10123802083200338
timing__setup__ws__corner:max_ff_n40C_1v95,9.181127229452796
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.101238
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,14.821835
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,218
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,218
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79988
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000119983
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000122042
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000161427
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000122042
design_powergrid__voltage__worst,0.000122042
design_powergrid__voltage__worst__net:VPWR,1.79988
design_powergrid__drop__worst,0.000122042
design_powergrid__drop__worst__net:VPWR,0.000119983
design_powergrid__voltage__worst__net:VGND,0.000122042
design_powergrid__drop__worst__net:VGND,0.000122042
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000016200000000000000749227069274382984076510183513164520263671875
ir__drop__worst,0.000120000000000000003040102891649354432956897653639316558837890625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
